Filer,Ticker,Status,Type,Filing_Date,Horizon,Entry_Date,Entry_Price,SPY_Entry_Price,Exit_Date,Exit_Price,SPY_Exit_Price,Stock_Return,SPY_Return,Alpha_BPS
JOHN BOOZMAN,FULL,Skipped: No price data available,,,,,,,,,,,,
JOHN BOOZMAN,FULL,Skipped: No price data available,,,,,,,,,,,,
JOHN BOOZMAN,FULL,Skipped: No price data available,,,,,,,,,,,,
JOHN BOOZMAN,FULL,Skipped: No price data available,,,,,,,,,,,,
JOHN BOOZMAN,FULL,Skipped: No price data available,,,,,,,,,,,,
JOHN BOOZMAN,FULL,Skipped: No price data available,,,,,,,,,,,,
JOHN W HICKENLOOPER,THE,Skipped: No price data available,,,,,,,,,,,,
SHELDON WHITEHOUSE,FULL,Skipped: No price data available,,,,,,,,,,,,
SHELDON WHITEHOUSE,FULL,Skipped: No price data available,,,,,,,,,,,,
SHELDON WHITEHOUSE,FULL,Skipped: No price data available,,,,,,,,,,,,
TINA SMITH,FULL,Skipped: No price data available,,,,,,,,,,,,
KATIE BRITT,FULL,Skipped: No price data available,,,,,,,,,,,,
KATIE BRITT,FULL,Skipped: No price data available,,,,,,,,,,,,
KATIE BRITT,FULL,Skipped: No price data available,,,,,,,,,,,,
"ANGUS S KING, JR.",FULL,Skipped: No price data available,,,,,,,,,,,,
MARKWAYNE MULLIN,THE,Skipped: No price data available,,,,,,,,,,,,
MARKWAYNE MULLIN,THE,Skipped: No price data available,,,,,,,,,,,,
MARKWAYNE MULLIN,THE,Skipped: No price data available,,,,,,,,,,,,
MARK R WARNER,FULL,Skipped: No price data available,,,,,,,,,,,,
MARK R WARNER,FULL,Skipped: No price data available,,,,,,,,,,,,
THOMAS H TUBERVILLE,FULL,Skipped: No price data available,,,,,,,,,,,,
THOMAS H TUBERVILLE,FULL,Skipped: No price data available,,,,,,,,,,,,
MARKWAYNE MULLIN,FULL,Skipped: No price data available,,,,,,,,,,,,
MARKWAYNE MULLIN,FULL,Skipped: No price data available,,,,,,,,,,,,
