Filer,Annualized_Volume,Trades_Per_Year,Burst_Score,Total_Trades,Years_Active,z_Annualized_Volume,z_Trades_Per_Year,z_Burst_Score,Capital_Velocity_Index,Rank
Kelly Loeffler,337977972.0304054,884.215250965251,2.0130239272013335,627.0,0.71,10.210327582862723,3.0283689371576172,-0.5816863473061777,4.219003390904721,1
Chris Van Hollen,38352528.375,2556.75,1.0,7.0,0.0,0.9661106578400602,9.344442242362026,-0.7551272789963139,3.1851418737352577,2
Elizabeth Warren,2020967.2645814274,40.60189844464776,53.17869699165504,486.0,11.97,-0.1548116110834372,-0.15740868500805305,8.178444355004515,2.622074686304342,3
David A Perdue Jr,24711027.827728577,880.6913595021541,10.222541301004984,5037.0,5.72,0.5452352184804315,3.0150614965717946,0.8238740780754418,1.4613902643758891,4
Markwayne Mullin,43753298.118229516,411.7408598510494,13.652128498454323,1665.0,4.04,1.1327383195613778,1.2441412008840695,1.4110574435083851,1.2626456546512774,5
Mike Rounds,6991861.965461808,29.4648285268901,21.99474315032744,207.0,7.03,-0.0014467019963684763,-0.1994661370558148,2.839405599064913,0.8794975866709098,6
Rick Scott,58457152.92609452,82.34564238952537,9.301310396503135,551.0,6.69,1.5863901250277637,0.00023022021749801298,0.666149129939254,0.7509231583948385,7
John Hoeven,10553913.819755245,55.68146853146853,17.823201425734023,545.0,9.79,0.10845177537439236,-0.1004629802122068,2.1251913896369015,0.7110600615996957,8
W. Mitt Romney,42515514.22632006,185.58557202408522,7.0729459908563905,1097.0,5.91,1.09454949733215,0.39010012514613845,0.28462842911212044,0.5897593505301363,9
Thomas H Tuberville,15461890.877903761,561.2082411504425,3.6071810810078784,2778.0,4.95,0.25987551307518403,1.8085820518551676,-0.3087489619271733,0.5865695343343929,10
Shelley M Capito,874924.638917794,88.93704474505724,15.436148344564186,936.0,10.52,-0.19016997887659925,0.025121649520035837,1.7165014275590127,0.5171510327341498,11
Maggie Hassan,1038622.0892643541,66.84599282296651,15.73477716730563,459.0,6.87,-0.18511949076512532,-0.05830185089424638,1.767629994076584,0.5080695508057375,12
Steve Daines,2323121.6048331494,33.54336734693878,16.129967538662537,333.0,9.93,-0.14548937118268826,-0.1840641550160299,1.8352909686721925,0.5019124808244915,13
Mark R Warner,30003129.6691358,43.28888888888889,9.970558640546844,432.0,9.98,0.7085101954464863,-0.14726167393638165,0.7807318518889788,0.4473267911330278,14
JD Vance,69827238.11029412,64.45588235294117,1.9538458674557535,6.0,0.09,1.9371865481099433,-0.06732773986003847,-0.5918182874729256,0.4260135069256597,15
Rev. Raphael Warnock,341886.38784965035,14.558916083916083,15.292947441911025,57.0,3.92,-0.20661558230097224,-0.2557560501503656,1.691983844797025,0.4098707374485624,16
Thomas R Carper,4305884.730515496,319.8599263577785,5.519355945158355,2854.0,8.92,-0.08431602014437127,0.8971668186603058,0.018636582567280225,0.27716246036107156,17
