Filer,Annualized_Volume,Trades_Per_Year,Burst_Score,Churn_Events_60d,Churn_Rate_60d,Num_Purchases,Num_Sales,Active_Months,Total_Volume,Total_Trades,log_Annualized_Volume,z_Annualized_Volume,log_Trades_Per_Year,z_Trades_Per_Year,log_Burst_Score,z_Burst_Score,z_Churn_Rate,Capital_Velocity_Index,Rank
Markwayne Mullin,64338120.90909091,605.4545454545455,57.7480466569599,6.0,0.01020408163265306,588.0,167.0,33.0,176929832.5,1665.0,17.979662889251056,2.1172624661739934,6.407629779911145,2.2146459578917232,4.073257904079356,1.6396761211866493,-0.1754890835293258,1.5367684071954228,1
Mike Rounds,24560051.75,103.5,330.3738869899119,0.0,0.0,0.0,0.0,24.0,49120103.5,207.0,17.016631809042213,1.5058834205567768,4.6491870714048655,0.44793449585048783,5.803247305840552,3.0,-0.290374125512176,1.31104801047986,2
Rick Scott,85342860.10909091,120.21818181818183,29.39997680003092,0.0,0.0,0.0,9.0,55.0,391154775.5,551.0,18.262187361165083,2.2966227646649284,4.797592077385589,0.5970373490865543,3.4144418452550074,1.0452393518745162,-0.290374125512176,1.0573183977845437,3
W. Mitt Romney,50262009.7,219.4,21.447895710879123,0.0,0.0,0.0,0.0,60.0,251310048.5,1097.0,17.732760095248466,1.9605165441993957,5.39544407727876,1.1977006380900175,3.1111968775402934,0.7716273830949925,-0.290374125512176,1.0550546727241454,4
Mark R Warner,70450639.05882353,101.6470588235294,39.02398665067554,0.0,0.0,0.0,18.0,51.0,299415216.0,432.0,18.070422881559722,2.174881330838117,4.631296490580311,0.4299597878589126,3.6894789406528568,1.2933999123821651,-0.290374125512176,1.0471537891478426,5
John Hoeven,20321266.721311476,107.21311475409837,67.07178063257341,10.0,0.046511627906976744,215.0,102.0,61.0,103299772.5,545.0,16.82717856658833,1.385609272670061,4.68410256751546,0.4830141756620879,4.220562745962639,1.7725863821620567,0.23328792631662973,0.851980476044394,6
Ron Johnson,64875009.0,18.0,82.75845222389172,0.0,0.0,0.0,0.0,8.0,43250006.0,12.0,17.987973053592896,2.1225381633437403,2.9444389791664403,-1.264829860862019,4.427937087689204,1.9596961711282597,-0.290374125512176,0.7769446497805393,7
William F Hagerty IV,10812783.0,66.0,69.56442244147813,0.0,0.0,8.0,49.0,16.0,14417044.0,88.0,16.196239695773283,0.985058540083055,4.204692619390966,0.0013498903993568849,4.25652608605926,1.8050353964420933,-0.290374125512176,0.7704544881091703,8
Lamar Alexander,15339055.799999999,111.6,29.012388270949604,0.0,0.0,0.0,0.0,20.0,25565093.0,186.0,16.545912865702725,1.2070481033514058,4.72384171570559,0.5229401898902664,3.4016102387899085,1.0336616457909558,-0.290374125512176,0.763506016136201,9
Patty Murray,5573821.2,242.39999999999998,24.527178123437256,0.0,0.0,156.0,166.0,20.0,9289702.0,404.0,15.533591588416963,0.5643772393635543,5.494706180553426,1.2974295031553122,3.2397436933557127,0.8876126461668092,-0.290374125512176,0.759948378549463,10
David A Perdue Jr,26091972.646153845,929.9076923076923,20.928610571273598,425.0,0.203544061302682,2088.0,2266.0,65.0,141331518.5,5037.0,17.077138301862117,1.544295889888354,6.836160123390154,2.6451913865226895,3.087792202979565,0.7505098056675263,2.0012743412434335,0.734680685208784,11
Cynthia M Lummis,12150040.363636363,80.72727272727273,41.282990264096235,0.0,0.0,4.0,0.0,11.0,11137537.0,74.0,16.312843132159554,1.05908408206044,4.40338776167325,0.20097936005675437,3.74438488376357,1.3429404647132825,-0.290374125512176,0.7233445080856632,12
Elizabeth Warren,2118897.1970802923,42.56934306569343,391.2262150282111,0.0,0.0,0.0,0.0,137.0,24190743.0,486.0,14.566406793189445,-0.049638786903686595,3.774353762340525,-0.4310125560056029,5.971838752497919,3.0,-0.290374125512176,0.7024306956507217,13
David H McCormick,28227790.615384616,196.61538461538464,6.84992869084359,0.0,0.0,24.0,3.0,13.0,30580106.5,213.0,17.15581756888008,1.5942453216023063,5.286322639648347,1.088066076961875,2.060504447784088,-0.17639172651738383,-0.290374125512176,0.6990734493897434,14
Kamala D Harris,6349249.090909091,316.3636363636364,10.263338630285595,0.0,0.0,0.0,0.0,22.0,11640290.0,580.0,15.663847267975173,0.6470698904016196,5.760048234306666,1.5640192791313638,2.4215530823408074,0.14937535371050514,-0.290374125512176,0.6627096621889162,15
Roger W Marshall,3643877.3333333335,199.11111111111111,26.541028685706774,0.0,0.0,0.0,0.0,27.0,8198724.0,448.0,15.108559148586512,0.2945459402911031,5.298872767839737,1.1006752198236576,3.315676845025102,0.9561256351224633,-0.290374125512176,0.66043023018735,16
Benjamin E Sasse,5496480.827586208,134.0689655172414,26.32964889735484,0.0,0.0,0.0,0.0,29.0,13283162.0,324.0,15.519618777816422,0.5555066184821432,4.905785503679358,0.7057395350753629,3.3079721530720496,0.9491738431438485,-0.290374125512176,0.6251985305533827,17
Peter Welch,12317922.75,220.5,7.404288844889003,0.0,0.0,0.0,0.0,32.0,32847794.0,588.0,16.3265659750817,1.0677960112819527,5.40042258948519,1.202702560834765,2.128742152321798,-0.11482218811988837,-0.290374125512176,0.6115126273772513,18
John P Ricketts,52950058.666666664,117.33333333333333,4.880950374150614,0.0,0.0,0.0,50.0,9.0,39712544.0,88.0,17.784859756860282,1.9935919475252204,4.773505500807306,0.5728375098103944,1.7717183771070033,-0.43695771694264185,-0.290374125512176,0.6049614664762873,19
