ticker,raw_ticker,asset_name,asset,mapped_ticker,sector
UNP,UNP,UNP,UNP,UNP,Information Technology
SPYM,SPYM,SPYM,SPYM,SPYM,Information Technology
MDY,MDY,MDY,MDY,MDY,Information Technology
FULL,FULL,FULL,FULL,FULL,Information Technology
OMC,OMC,OMC,OMC,OMC,Information Technology
MU,MU,MU,MU,MU,Information Technology
LRCX,LRCX,LRCX,LRCX,LRCX,Information Technology
IWM,IWM,IWM,IWM,IWM,Information Technology
INC,INC,INC,INC,INC,Information Technology
VNQI,VNQI,VNQI,VNQI,VNQI,Information Technology
TPYP,TPYP,TPYP,TPYP,TPYP,Information Technology
LITP,LITP,LITP,LITP,LITP,Information Technology
PYPL,PYPL,PYPL,PYPL,PYPL,Information Technology
RNWGX,RNWGX,RNWGX,RNWGX,RNWGX,Information Technology
NFLX,NFLX,NFLX,NFLX,NFLX,Information Technology
JMBS,JMBS,JMBS,JMBS,JMBS,Information Technology
IVV,IVV,IVV,IVV,IVV,Information Technology
CMBS,CMBS,CMBS,CMBS,CMBS,Information Technology
MBB,MBB,MBB,MBB,MBB,Information Technology
TBLL,TBLL,TBLL,TBLL,TBLL,Information Technology
GIGB,GIGB,GIGB,GIGB,GIGB,Information Technology
GEM,GEM,GEM,GEM,GEM,Information Technology
FTGC,FTGC,FTGC,FTGC,FTGC,Information Technology
EIPI,EIPI,EIPI,EIPI,EIPI,Information Technology
XOM,XOM,XOM,XOM,XOM,Information Technology
ETN,ETN,ETN,ETN,ETN,Information Technology
DIS,DIS,DIS,DIS,DIS,Information Technology
DXCM,DXCM,DXCM,DXCM,DXCM,Information Technology
CVS,CVS,CVS,CVS,CVS,Information Technology
CAT,CAT,CAT,CAT,CAT,Information Technology
AAPL,AAPL,AAPL,AAPL,AAPL,Information Technology
ME,ME,ME,ME,ME,Information Technology
SELF,SELF,SELF,SELF,SELF,Information Technology
THE,THE,THE,THE,THE,Information Technology
SBUX,SBUX,SBUX,SBUX,SBUX,Information Technology
ST,ST,ST,ST,ST,Information Technology
MEX,MEX,MEX,MEX,MEX,Information Technology
TEX,TEX,TEX,TEX,TEX,Information Technology
AUTH,AUTH,AUTH,AUTH,AUTH,Information Technology
WEST,WEST,WEST,WEST,WEST,Information Technology
COOK,COOK,COOK,COOK,COOK,Information Technology
IPS,IPS,IPS,IPS,IPS,Information Technology
SALEM,SALEM,SALEM,SALEM,SALEM,Information Technology
FORT,FORT,FORT,FORT,FORT,Information Technology
INTER,INTER,INTER,INTER,INTER,Information Technology
CLEAR,CLEAR,CLEAR,CLEAR,CLEAR,Information Technology
WASH,WASH,WASH,WASH,WASH,Information Technology
VSEC,VSEC,VSEC,VSEC,VSEC,Information Technology
MPWR,MPWR,MPWR,MPWR,MPWR,Information Technology
MCK,MCK,MCK,MCK,MCK,Information Technology
LRN,LRN,LRN,LRN,LRN,Information Technology
FCFS,FCFS,FCFS,FCFS,FCFS,Information Technology
CRS,CRS,CRS,CRS,CRS,Information Technology
APG,APG,APG,APG,APG,Information Technology
AMKR,AMKR,AMKR,AMKR,AMKR,Information Technology
ADBE,ADBE,ADBE,ADBE,ADBE,Information Technology
NVDA,NVDA,NVDA,NVDA,NVDA,Information Technology
BRK,BRK,BRK,BRK,BRK,Information Technology
JPM,JPM,JPM,JPM,JPM,Information Technology
GOOG,GOOG,GOOG,GOOG,GOOG,Information Technology
EOG,EOG,EOG,EOG,EOG,Information Technology
AMZN,AMZN,AMZN,AMZN,AMZN,Information Technology
WMT,WMT,WMT,WMT,WMT,Information Technology
MSFT,MSFT,MSFT,MSFT,MSFT,Information Technology
UNH,UNH,UNH,UNH,UNH,Information Technology
UPS,UPS,UPS,UPS,UPS,Information Technology
HON,HON,HON,HON,HON,Information Technology
LLY,LLY,LLY,LLY,LLY,Information Technology
COF,COF,COF,COF,COF,Information Technology
RTX,RTX,RTX,RTX,RTX,Information Technology
GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,Information Technology
ICE,ICE,ICE,ICE,ICE,Information Technology
DE,DE,DE,DE,DE,Information Technology
BSX,BSX,BSX,BSX,BSX,Information Technology
CRM,CRM,CRM,CRM,CRM,Information Technology
IQV,IQV,IQV,IQV,IQV,Information Technology
ELV,ELV,ELV,ELV,ELV,Information Technology
AXP,AXP,AXP,AXP,AXP,Information Technology
CVX,CVX,CVX,CVX,CVX,Information Technology
META,META,META,META,META,Information Technology
MA,MA,MA,MA,MA,Information Technology
HLT,HLT,HLT,HLT,HLT,Information Technology
AMAT,AMAT,AMAT,AMAT,AMAT,Information Technology
COST,COST,COST,COST,COST,Information Technology
ISRG,ISRG,ISRG,ISRG,ISRG,Information Technology
INTU,INTU,INTU,INTU,INTU,Information Technology
NOW,NOW,NOW,NOW,NOW,Information Technology
COP,COP,COP,COP,COP,Information Technology
LAZR,LAZR,LAZR,LAZR,LAZR,Information Technology
MSI,MSI,MSI,MSI,MSI,Information Technology
SLV,SLV,SLV,SLV,SLV,Information Technology
PPLT,PPLT,PPLT,PPLT,PPLT,Information Technology
PALL,PALL,PALL,PALL,PALL,Information Technology
WFC,WFC,WFC,WFC,WFC,Information Technology
SMCI,SMCI,SMCI,SMCI,SMCI,Information Technology
IVW,IVW,IVW,IVW,IVW,Information Technology
IJR,IJR,IJR,IJR,IJR,Information Technology
ANET,ANET,ANET,ANET,ANET,Information Technology
FWONK,FWONK,FWONK,FWONK,FWONK,Information Technology
