2026-02-16T21:20:17Z | INFO    | ppf_house_crawler | Logging initialized
2026-02-16T21:20:17Z | INFO    | ppf_house_crawler | log_file=/home/vboxuser/work/ppf/ppf/temp/ppf/logs/ppf_house_crawler.log
2026-02-16T21:20:17Z | INFO    | ppf_house_crawler | CLI args: project_root=/home/vboxuser/work/ppf/ppf/temp/ppf filing_year=2026 prefixes=A..Z download_pdfs=True headless=True verbose=True
2026-02-16T21:20:17Z | INFO    | ppf_house_crawler | Loaded existing index: /home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/house_fd_index.csv rows=54
2026-02-16T21:20:17Z | INFO    | ppf_house_crawler | Crawler start: filing_year=2026 prefixes=26 download_pdfs=True headless=True
2026-02-16T21:20:18Z | INFO    | ppf_house_crawler | Prefix [1/26] prefix=A year=2026
2026-02-16T21:20:19Z | DEBUG   | ppf_house_crawler | Loading search page: https://disclosures-clerk.house.gov/FinancialDisclosure/ViewSearch
2026-02-16T21:20:20Z | DEBUG   | ppf_house_crawler | Found last-name input via selector: input[name='LastName']
2026-02-16T21:20:20Z | DEBUG   | ppf_house_crawler | Found filing-year select via selector: select[name='FilingYear']
2026-02-16T21:20:20Z | DEBUG   | ppf_house_crawler | Found search button via selector: button:has-text('Search')
2026-02-16T21:20:20Z | DEBUG   | ppf_house_crawler | Submitting search: year=2026 prefix=A
2026-02-16T21:20:21Z | DEBUG   | ppf_house_crawler | Search completed: year=2026 prefix=A
2026-02-16T21:20:21Z | DEBUG   | ppf_house_crawler | Found 1 PDF anchors on page
2026-02-16T21:20:21Z | INFO    | ppf_house_crawler | Results extracted: prefix=A pdf_links=1
2026-02-16T21:20:21Z | DEBUG   | ppf_house_crawler | Skip existing url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033751.pdf
2026-02-16T21:20:21Z | INFO    | ppf_house_crawler | Prefix summary prefix=A new_rows=0 downloaded=0 failed_downloads=0
2026-02-16T21:20:21Z | INFO    | ppf_house_crawler | Prefix [2/26] prefix=B year=2026
2026-02-16T21:20:22Z | DEBUG   | ppf_house_crawler | Loading search page: https://disclosures-clerk.house.gov/FinancialDisclosure/ViewSearch
2026-02-16T21:20:23Z | DEBUG   | ppf_house_crawler | Found last-name input via selector: input[name='LastName']
2026-02-16T21:20:23Z | DEBUG   | ppf_house_crawler | Found filing-year select via selector: select[name='FilingYear']
2026-02-16T21:20:23Z | DEBUG   | ppf_house_crawler | Found search button via selector: button:has-text('Search')
2026-02-16T21:20:23Z | DEBUG   | ppf_house_crawler | Submitting search: year=2026 prefix=B
2026-02-16T21:20:24Z | DEBUG   | ppf_house_crawler | Search completed: year=2026 prefix=B
2026-02-16T21:20:24Z | DEBUG   | ppf_house_crawler | Found 4 PDF anchors on page
2026-02-16T21:20:24Z | INFO    | ppf_house_crawler | Results extracted: prefix=B pdf_links=4
2026-02-16T21:20:24Z | DEBUG   | ppf_house_crawler | Skip existing url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033714.pdf
2026-02-16T21:20:24Z | DEBUG   | ppf_house_crawler | Skip existing url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033903.pdf
2026-02-16T21:20:24Z | DEBUG   | ppf_house_crawler | Skip existing url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033800.pdf
2026-02-16T21:20:24Z | DEBUG   | ppf_house_crawler | Skip existing url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033927.pdf
2026-02-16T21:20:24Z | INFO    | ppf_house_crawler | Prefix summary prefix=B new_rows=0 downloaded=0 failed_downloads=0
2026-02-16T21:20:24Z | INFO    | ppf_house_crawler | Prefix [3/26] prefix=C year=2026
2026-02-16T21:20:26Z | DEBUG   | ppf_house_crawler | Loading search page: https://disclosures-clerk.house.gov/FinancialDisclosure/ViewSearch
2026-02-16T21:20:26Z | DEBUG   | ppf_house_crawler | Found last-name input via selector: input[name='LastName']
2026-02-16T21:20:26Z | DEBUG   | ppf_house_crawler | Found filing-year select via selector: select[name='FilingYear']
2026-02-16T21:20:26Z | DEBUG   | ppf_house_crawler | Found search button via selector: button:has-text('Search')
2026-02-16T21:20:26Z | DEBUG   | ppf_house_crawler | Submitting search: year=2026 prefix=C
2026-02-16T21:20:27Z | DEBUG   | ppf_house_crawler | Search completed: year=2026 prefix=C
2026-02-16T21:20:28Z | DEBUG   | ppf_house_crawler | Found 6 PDF anchors on page
2026-02-16T21:20:28Z | INFO    | ppf_house_crawler | Results extracted: prefix=C pdf_links=6
2026-02-16T21:20:28Z | DEBUG   | ppf_house_crawler | Skip existing url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033762.pdf
2026-02-16T21:20:28Z | DEBUG   | ppf_house_crawler | Skip existing url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033983.pdf
