ticker,filer,filing_datetime,impulse,doc_id
NEE,HON.,2024-01-11 00:00:00+00:00,0,20024277
SCHW,HON.,2024-01-11 00:00:00+00:00,0,20024277
ALB,HON.,2024-01-11 00:00:00+00:00,0,20024277
BLK,HON.,2024-02-16 00:00:00+00:00,0,20024458
AMP,HON.,2024-05-14 00:00:00+00:00,0,20025031
SBUX,HON.,2024-06-21 00:00:00+00:00,0,20025287
CTAS,HON.,2024-06-21 00:00:00+00:00,0,20025287
JNJ,HON.,2024-07-10 00:00:00+00:00,0,20025411
AZO,HON.,2024-08-08 00:00:00+00:00,0,20025601
JNJ,HON.,2024-08-08 00:00:00+00:00,0,20025601
DE,HON.,2024-09-20 00:00:00+00:00,0,20025875
SCHW,HON.,2024-10-18 00:00:00+00:00,0,20026031
STT,HON.,2024-08-21 00:00:00+00:00,0,20025708
STT,HON.,2024-11-21 00:00:00+00:00,0,20026246
YUM,HON.,2024-08-12 00:00:00+00:00,0,20025626
ALK,HON.,2024-01-04 00:00:00+00:00,0,20024254
DEO,HON.,2024-01-04 00:00:00+00:00,0,20024254
PHG,HON.,2024-03-02 00:00:00+00:00,0,20024580
QCOM,HON.,2024-03-02 00:00:00+00:00,0,20024580
AMZN,HON.,2024-03-02 00:00:00+00:00,0,20024580
GOOGL,HON.,2024-03-02 00:00:00+00:00,0,20024580
PFE,HON.,2024-03-02 00:00:00+00:00,0,20024580
UL,HON.,2024-03-02 00:00:00+00:00,0,20024580
NWN,HON.,2024-03-12 00:00:00+00:00,0,20024671
NKE,HON.,2024-05-04 00:00:00+00:00,0,20024984
SO,HON.,2024-05-04 00:00:00+00:00,0,20024984
CAT,HON.,2024-05-04 00:00:00+00:00,0,20024984
RTX,HON.,2024-05-04 00:00:00+00:00,0,20024984
BX,HON.,2024-05-04 00:00:00+00:00,0,20024984
DGX,HON.,2024-05-04 00:00:00+00:00,0,20024984
TEL,HON.,2024-05-04 00:00:00+00:00,0,20024984
MCK,HON.,2024-05-04 00:00:00+00:00,0,20024984
MGA,HON.,2024-05-04 00:00:00+00:00,0,20024984
KR,HON.,2024-05-04 00:00:00+00:00,0,20024984
ERJ,HON.,2024-05-04 00:00:00+00:00,0,20024984
NWN,HON.,2024-06-06 00:00:00+00:00,0,20025219
CVS,HON.,2024-07-06 00:00:00+00:00,0,20025403
BAX,HON.,2024-08-06 00:00:00+00:00,0,20025603
WBD,HON.,2024-08-06 00:00:00+00:00,0,20025603
MDT,HON.,2024-08-06 00:00:00+00:00,0,20025603
NWN,HON.,2024-09-06 00:00:00+00:00,0,20025787
VTR,HON.,2024-10-08 00:00:00+00:00,0,20025970
NWN,HON.,2024-12-07 00:00:00+00:00,0,20026347
UPS,HON.,2024-01-08 00:00:00+00:00,0,20024265
AMD,HON.,2024-01-22 00:00:00+00:00,0,20024330
RY,HON.,2024-01-22 00:00:00+00:00,0,20024330
BX,HON.,2024-01-22 00:00:00+00:00,0,20024330
ILMN,HON.,2024-01-22 00:00:00+00:00,0,20024330
AMGN,HON.,2024-01-22 00:00:00+00:00,0,20024330
PANW,HON.,2024-01-22 00:00:00+00:00,0,20024330
XOM,HON.,2024-01-22 00:00:00+00:00,0,20024330
VLO,HON.,2024-01-22 00:00:00+00:00,0,20024330
BX,HON.,2024-02-05 00:00:00+00:00,0,20024437
VLO,HON.,2024-02-05 00:00:00+00:00,0,20024437
PANW,HON.,2024-03-07 00:00:00+00:00,0,20024627
ILMN,HON.,2024-03-07 00:00:00+00:00,0,20024627
BBY,HON.,2024-03-07 00:00:00+00:00,0,20024627
WBA,HON.,2024-03-22 00:00:00+00:00,0,20024722
ILMN,HON.,2024-03-22 00:00:00+00:00,0,20024722
XOM,HON.,2024-04-10 00:00:00+00:00,0,20024838
ILMN,HON.,2024-04-10 00:00:00+00:00,0,20024838
IBM,HON.,2024-05-02 00:00:00+00:00,0,20024966
ABBV,HON.,2024-05-02 00:00:00+00:00,0,20024966
MRK,HON.,2024-05-02 00:00:00+00:00,0,20024966
ITIP,HON.,2024-05-02 00:00:00+00:00,0,20024966
UPS,HON.,2024-07-31 00:00:00+00:00,0,20025548
RY,HON.,2024-07-31 00:00:00+00:00,0,20025548
RY,HON.,2024-08-12 00:00:00+00:00,0,20025605
ILMN,HON.,2024-09-24 00:00:00+00:00,0,20025791
ILMN,HON.,2024-10-01 00:00:00+00:00,-1,20025942
ABCB,HON.,2024-07-24 00:00:00+00:00,0,20025499
AMEH,HON.,2024-01-21 00:00:00+00:00,0,20024347
NYCB,HON.,2024-04-04 00:00:00+00:00,0,20024795
DTRUY,HON.,2024-01-04 00:00:00+00:00,0,20024188
KD,HON.,2024-01-04 00:00:00+00:00,0,20024188
LDOS,HON.,2024-03-22 00:00:00+00:00,0,20024728
SAIC,HON.,2024-03-22 00:00:00+00:00,0,20024728
LDOS,HON.,2024-07-05 00:00:00+00:00,0,20025404
SAIC,HON.,2024-07-05 00:00:00+00:00,0,20025404
LDOS,HON.,2024-10-11 00:00:00+00:00,0,20026009
SAIC,HON.,2024-10-11 00:00:00+00:00,0,20026009
MSFT,HON.,2024-03-08 00:00:00+00:00,0,20024581
MSFT,HON.,2024-09-09 00:00:00+00:00,0,20025768
AAPL,HON.,2024-06-24 00:00:00+00:00,0,20025306
HD,HON.,2024-01-08 00:00:00+00:00,0,20024268
JNJ,HON.,2024-01-08 00:00:00+00:00,0,20024268
PPG,HON.,2024-01-08 00:00:00+00:00,0,20024268
IBM,HON.,2024-01-08 00:00:00+00:00,0,20024268
KO,HON.,2024-01-08 00:00:00+00:00,0,20024268
PG,HON.,2024-03-05 00:00:00+00:00,0,20024611
IBM,HON.,2024-04-09 00:00:00+00:00,0,20024839
HD,HON.,2024-04-09 00:00:00+00:00,0,20024839
JNJ,HON.,2024-04-09 00:00:00+00:00,0,20024839
PPG,HON.,2024-04-09 00:00:00+00:00,0,20024839
KO,HON.,2024-05-06 00:00:00+00:00,0,20024997
PG,HON.,2024-06-05 00:00:00+00:00,0,20025202
IBM,HON.,2024-07-03 00:00:00+00:00,0,20025397
HD,HON.,2024-07-03 00:00:00+00:00,0,20025397
JNJ,HON.,2024-07-03 00:00:00+00:00,0,20025397
PPG,HON.,2024-07-03 00:00:00+00:00,0,20025397
KO,HON.,2024-08-05 00:00:00+00:00,0,20025592
PG,HON.,2024-09-09 00:00:00+00:00,0,20025822
IBM,HON.,2024-10-10 00:00:00+00:00,0,20026002
HD,HON.,2024-10-10 00:00:00+00:00,0,20026002
JNJ,HON.,2024-10-10 00:00:00+00:00,0,20026002
PPG,HON.,2024-10-10 00:00:00+00:00,0,20026002
KO,HON.,2024-11-05 00:00:00+00:00,0,20026151
PG,HON.,2024-12-04 00:00:00+00:00,0,20026322
MCK,HON.,2024-11-07 00:00:00+00:00,0,20026099
NU,HON.,2024-11-07 00:00:00+00:00,0,20026099
APPF,HON.,2024-11-07 00:00:00+00:00,0,20026099
SNPS,HON.,2024-11-07 00:00:00+00:00,0,20026099
JD,HON.,2024-05-23 00:00:00+00:00,0,20000788
CL,HON.,2024-05-23 00:00:00+00:00,0,20000788
HASI,HON.,2024-01-17 00:00:00+00:00,0,20024324
MU,HON.,2024-01-17 00:00:00+00:00,0,20024324
NOW,HON.,2024-01-17 00:00:00+00:00,0,20024324
FLNG,HON.,2024-01-04 00:00:00+00:00,0,20024230
CRT,HON.,2024-01-04 00:00:00+00:00,0,20024230
CRT,HON.,2024-02-05 00:00:00+00:00,0,20024424
SCHX,HON.,2024-02-05 00:00:00+00:00,0,20024424
MO,HON.,2024-02-05 00:00:00+00:00,0,20024424
ET,HON.,2024-02-05 00:00:00+00:00,0,20024424
HTGC,HON.,2024-02-05 00:00:00+00:00,0,20024424
FLNG,HON.,2024-03-07 00:00:00+00:00,0,20024596
ASC,HON.,2024-03-07 00:00:00+00:00,0,20024596
ET,HON.,2024-03-07 00:00:00+00:00,0,20024596
ARLP,HON.,2024-03-07 00:00:00+00:00,0,20024596
HTGC,HON.,2024-03-07 00:00:00+00:00,0,20024596
ASC,HON.,2024-04-10 00:00:00+00:00,0,20024825
HTGC,HON.,2024-04-10 00:00:00+00:00,0,20024825
ET,HON.,2024-05-06 00:00:00+00:00,0,20024996
ASC,HON.,2024-05-06 00:00:00+00:00,0,20024996
HTGC,HON.,2024-05-06 00:00:00+00:00,0,20024996
ET,HON.,2024-06-06 00:00:00+00:00,0,20025200
ARLP,HON.,2024-06-06 00:00:00+00:00,0,20025200
HTGC,HON.,2024-06-06 00:00:00+00:00,0,20025200
ASC,HON.,2024-08-06 00:00:00+00:00,0,20025588
ET,HON.,2024-09-04 00:00:00+00:00,0,20025771
ARLP,HON.,2024-09-04 00:00:00+00:00,0,20025771
HTGC,HON.,2024-09-04 00:00:00+00:00,0,20025771
EFC,HON.,2024-10-21 00:00:00+00:00,0,20026032
HTGC,HON.,2024-11-12 00:00:00+00:00,0,20026124
ET,HON.,2024-12-11 00:00:00+00:00,0,20026376
ARLP,HON.,2024-12-11 00:00:00+00:00,0,20026376
HTGC,HON.,2024-12-11 00:00:00+00:00,0,20026376
JCI,HON.,2024-05-14 00:00:00+00:00,0,20025035
BRP,HON.,2024-04-23 00:00:00+00:00,0,20024916
