asset_id,ticker_norm,issuer_norm,asset_name
1,1,ADOBE INC - COMMON STOCK,Adobe Inc. - Common Stock
1,1,MCDONALD'S CORP,McDonald's Corp
1,1,UBER TECHNOLOGIES INC COMMON STOCK,"Uber Technologies, Inc. Common Stock"
10,10,VSE CORP - COMMON STOCK,VSE Corporation - Common Stock
11,11,ADOBE INC - COMMON STOCK,Adobe Inc. - Common Stock
12,12,AMKOR TECHNOLOGY INC - COMMON STOCK,"Amkor Technology, Inc. - Common Stock"
13,13,API GROUP CORP COMMON STOCK,APi Group Corporation Common Stock
14,14,CITIGROUP INC,Citigroup Inc
15,15,CARPENTER TECHNOLOGY CORP COMMON STOCK,Carpenter Technology Corporation Common Stock
16,16,FIRSTCASH HOLDINGS INC - COMMON STOCK,"FirstCash Holdings, Inc. - Common Stock"
17,17,STRIDE INC COMMON STOCK,"Stride, Inc. Common Stock"
18,18,MCKESSON CORP COMMON STOCK,McKesson Corporation Common Stock
19,19,MONOLITHIC POWER SYSTEMS INC - COMMON STOCK,"Monolithic Power Systems, Inc. - Common Stock"
2,2,AMKOR TECHNOLOGY INC - COMMON STOCK,"Amkor Technology, Inc. - Common Stock"
2,2,EATON CORP PLC ORDINARY SHARES,"Eaton Corporation, PLC Ordinary Shares"
2,2,NVIDIA CORP,Nvidia Corp
20,20,VSE CORP - COMMON STOCK,VSE Corporation - Common Stock
21,21,COOK CNTY ILL CMNTY CONS SCH DIST NO 015 PALATINE GO BDS RATE/COUPON: 525% MATURES: 12/15/39,COOK CNTY ILL CMNTY CONS SCH DIST NO 015 PALATINE GO BDS Rate/Coupon: 5.25% Matures: 12/15/39
22,22,SEATTLE WASH DRAIN & WASTEWATER REV REF REV BDS RATE/COUPON: 40% MATURES: 05/01/39,SEATTLE WASH DRAIN & WASTEWATER REV REF REV BDS Rate/Coupon: 4.0% Matures: 05/01/39
23,23,FORT SMITH ARK WTR & SWR REV REF CONSTR BDS RATE/COUPON: 50% MATURES: 10/01/32,FORT SMITH ARK WTR & SWR REV REF CONSTR BDS Rate/Coupon: 5.0% Matures: 10/01/32
24,24,CLEAR CREEK TEX INDPT SCH DIST UNLTD TAX REF BDS RATE/COUPON: 50% MATURES: 02/15/38,CLEAR CREEK TEX INDPT SCH DIST UNLTD TAX REF BDS Rate/Coupon: 5.0% Matures: 02/15/38
25,25,MACOMB INTER SCH DIST MICH UNLTD TAX GO BLDG SITE BDS RATE/COUPON: 50% MATURES: 05/01/38,MACOMB INTER SCH DIST MICH UNLTD TAX GO BLDG SITE BDS Rate/Coupon: 5.0% Matures: 05/01/38
26,26,UNIVERSITY HOUSTON TEX UNIV REVS CONSOLIDATED REV AND REF BDS RATE/COUPON: 50% MATURES: 02/15/33,UNIVERSITY HOUSTON TEX UNIV REVS CONSOLIDATED REV AND REF BDS Rate/Coupon: 5.0% Matures: 02/15/33
27,27,FORT LAUDERDALE FLA WTR & SWR REV BDS RATE/COUPON: 50% MATURES: 09/01/38,FORT LAUDERDALE FLA WTR & SWR REV BDS Rate/Coupon: 5.0% Matures: 09/01/38
28,28,SALEM N H GO BDS RATE/COUPON: 40% MATURES: 10/01/36,SALEM N H GO BDS Rate/Coupon: 4.0% Matures: 10/01/36
29,29,IPS MULTI-SCH BLDG CORP IND UNLTD AD VALOREM PPTY TAX FIRST MTG BDS RATE/COUPON: 50% MATURES: 07/15/38,IPS MULTI-SCH BLDG CORP IND UNLTD AD VALOREM PPTY TAX FIRST MTG BDS Rate/Coupon: 5.0% Matures: 07/15/38
3,3,API GROUP CORP COMMON STOCK,APi Group Corporation Common Stock
3,3,STARBUCKS CORP,Starbucks Corp
3,3,TJX COMPANIES INC (THE) COMMON STOCK,"TJX Companies, Inc. (The) Common Stock"
30,30,COOK CNTY ILL CMNTY CONS SCH DIST NO 015 PALATINE GO BDS RATE/COUPON: 525% MATURES: 12/15/39,COOK CNTY ILL CMNTY CONS SCH DIST NO 015 PALATINE GO BDS Rate/Coupon: 5.25% Matures: 12/15/39
31,31,FLORIDA ST DEPT GEN SVCS DIV FACS MGMT REV POOL REV REF BDS RATE/COUPON: 40% MATURES: 09/01/30,FLORIDA ST DEPT GEN SVCS DIV FACS MGMT REV POOL REV REF BDS Rate/Coupon: 4.0% Matures: 09/01/30
32,32,MASSACHUSETTS ST DEV FIN AGY REV BDS RATE/COUPON: 50% MATURES: 10/01/31,MASSACHUSETTS ST DEV FIN AGY REV BDS Rate/Coupon: 5.0% Matures: 10/01/31
33,33,WEST PALM BEACH FLA CMNTY REDEV AGY TAX INCREMENT REV REF BDS RATE/COUPON: 50% MATURES: 03/01/33,WEST PALM BEACH FLA CMNTY REDEV AGY TAX INCREMENT REV REF BDS Rate/Coupon: 5.0% Matures: 03/01/33
34,34,METROPOLITAN TRANSN AUTH N Y DEDICATED TAX FD GREEN FD BDS RATE/COUPON: 50% MATURES: 11/15/36,METROPOLITAN TRANSN AUTH N Y DEDICATED TAX FD GREEN FD BDS Rate/Coupon: 5.0% Matures: 11/15/36
35,35,AUSTIN TEX CTFS OBLIG RATE/COUPON: 50% MATURES: 09/01/38,AUSTIN TEX CTFS OBLIG Rate/Coupon: 5.0% Matures: 09/01/38
36,36,CORSICANA TEX COMBINATION TAX AND REV CTFS OBLIG RATE/COUPON: 40% MATURES: 02/15/42,CORSICANA TEX COMBINATION TAX AND REV CTFS OBLIG Rate/Coupon: 4.0% Matures: 02/15/42
37,37,ALAMOGORDO N MEX MUN SCH DIST NO 001 GO BDS RATE/COUPON: 50% MATURES: 08/01/27,ALAMOGORDO N MEX MUN SCH DIST NO 001 GO BDS Rate/Coupon: 5.0% Matures: 08/01/27
