asset_id,ticker_norm,issuer_norm,asset_name
AAPL,AAPL,AAPL,AAPL
ADBE,ADBE,ADBE,ADBE
AMAT,AMAT,AMAT,AMAT
AMKR,AMKR,AMKR,AMKR
AMZN,AMZN,AMZN,AMZN
ANET,ANET,ANET,ANET
APG,APG,APG,APG
AUTH,AUTH,AUTH,AUTH
AXP,AXP,AXP,AXP
BRK,BRK,BRK,BRK
BSX,BSX,BSX,BSX
CAT,CAT,CAT,CAT
CLEAR,CLEAR,CLEAR,CLEAR
CMBS,CMBS,CMBS,CMBS
COF,COF,COF,COF
COOK,COOK,COOK,COOK
COP,COP,COP,COP
COST,COST,COST,COST
CRM,CRM,CRM,CRM
CRS,CRS,CRS,CRS
CVS,CVS,CVS,CVS
CVX,CVX,CVX,CVX
DE,DE,DE,DE
DIS,DIS,DIS,DIS
DXCM,DXCM,DXCM,DXCM
EIPI,EIPI,EIPI,EIPI
ELV,ELV,ELV,ELV
EOG,EOG,EOG,EOG
ETN,ETN,ETN,ETN
FCFS,FCFS,FCFS,FCFS
FORT,FORT,FORT,FORT
FTGC,FTGC,FTGC,FTGC
FULL,FULL,FULL,FULL
FWONK,FWONK,FWONK,FWONK
GEM,GEM,GEM,GEM
GIGB,GIGB,GIGB,GIGB
GOOG,GOOG,GOOG,GOOG
GOOGL,GOOGL,GOOGL,GOOGL
HLT,HLT,HLT,HLT
HON,HON,HON,HON
ICE,ICE,ICE,ICE
IJR,IJR,IJR,IJR
INC,INC,INC,INC
INTER,INTER,INTER,INTER
INTU,INTU,INTU,INTU
IPS,IPS,IPS,IPS
IQV,IQV,IQV,IQV
ISRG,ISRG,ISRG,ISRG
IVV,IVV,IVV,IVV
IVW,IVW,IVW,IVW
IWM,IWM,IWM,IWM
JMBS,JMBS,JMBS,JMBS
JPM,JPM,JPM,JPM
LAZR,LAZR,LAZR,LAZR
LITP,LITP,LITP,LITP
LLY,LLY,LLY,LLY
LRCX,LRCX,LRCX,LRCX
LRN,LRN,LRN,LRN
MA,MA,MA,MA
MBB,MBB,MBB,MBB
MCK,MCK,MCK,MCK
MDY,MDY,MDY,MDY
ME,ME,ME,ME
META,META,META,META
MEX,MEX,MEX,MEX
MPWR,MPWR,MPWR,MPWR
MSFT,MSFT,MSFT,MSFT
MSI,MSI,MSI,MSI
MU,MU,MU,MU
NFLX,NFLX,NFLX,NFLX
NOW,NOW,NOW,NOW
NVDA,NVDA,NVDA,NVDA
OMC,OMC,OMC,OMC
PALL,PALL,PALL,PALL
PPLT,PPLT,PPLT,PPLT
PYPL,PYPL,PYPL,PYPL
RNWGX,RNWGX,RNWGX,RNWGX
RTX,RTX,RTX,RTX
SALEM,SALEM,SALEM,SALEM
SBUX,SBUX,SBUX,SBUX
SELF,SELF,SELF,SELF
SLV,SLV,SLV,SLV
SMCI,SMCI,SMCI,SMCI
SPYM,SPYM,SPYM,SPYM
ST,ST,ST,ST
TBLL,TBLL,TBLL,TBLL
TEX,TEX,TEX,TEX
THE,THE,THE,THE
TPYP,TPYP,TPYP,TPYP
UNH,UNH,UNH,UNH
UNP,UNP,UNP,UNP
UPS,UPS,UPS,UPS
VNQI,VNQI,VNQI,VNQI
VSEC,VSEC,VSEC,VSEC
WASH,WASH,WASH,WASH
WEST,WEST,WEST,WEST
WFC,WFC,WFC,WFC
WMT,WMT,WMT,WMT
XOM,XOM,XOM,XOM
